,REGION,CROP,TOTAL RAINFALL(MM),AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
504,4,4,1436,120.0,5.6,672.0
505,4,4,1436,200.0,5.0,1000.0
506,4,4,1436,268.0,9.55,2559.4
507,4,4,1436,15.0,5.14,77.1
508,4,8,1436,600.0,1.4,840.0
509,4,8,1436,2500.0,1.1,2750.0
510,4,8,1436,1220.0,1.1,1342.0
511,0,5,1412,9580.0,5.67,54318.6
512,0,5,1412,2060.0,7.73,15923.8
513,0,5,1412,1485.0,7.45,11063.25
514,0,5,1412,85.0,4.61,391.85
515,0,5,1412,2720.0,6.74,18332.8
516,0,5,1412,4415.0,6.8,30022.0
517,0,5,1412,4650.0,6.9,32085.0
518,0,5,1412,2860.0,7.0,20020.0
519,0,5,1412,11850.0,6.9,81765.0
520,0,5,1412,7565.0,5.79,43801.35
521,0,5,1412,6545.0,5.77,37764.65
522,0,5,1412,2988.0,6.95,20766.6
523,0,5,1412,1284.0,7.11,9129.24
524,0,5,1412,3756.0,6.73,25277.88
525,0,5,1412,1961.0,5.97,11707.17
526,0,5,1412,1402.0,5.73,8033.46
527,0,5,1412,658.0,6.39,4204.62
528,0,5,1412,3117.0,6.82,21257.94
529,0,5,1412,1756.0,7.53,13222.68
530,0,5,1412,11616.0,5.15,59822.4
531,0,5,1412,18.0,5.77,103.86
532,0,4,1412,6450.0,9.93,64048.5
533,0,4,1412,4300.0,8.88,38184.0
534,0,4,1412,3015.0,9.82,29607.3
535,0,4,1412,785.0,8.84,6939.4
536,0,4,1412,3620.0,10.97,39711.4
537,0,4,1412,3200.0,11.91,38112.0
538,0,4,1412,5285.0,8.92,47142.2
539,0,4,1412,6410.0,10.61,68010.1
540,0,4,1412,7005.0,9.93,69559.65
541,0,4,1412,6120.0,9.88,60465.6
542,0,4,1412,7250.0,9.96,72210.0
543,0,4,1412,3330.0,10.08,33566.4
544,0,4,1412,3200.0,9.92,31744.0
545,0,4,1412,2400.0,10.66,25584.0
546,0,4,1412,5800.0,10.71,62118.0
547,0,4,1412,4005.0,10.12,40530.6
548,0,4,1412,1050.0,8.67,9103.5
549,0,4,1412,3314.0,10.66,35327.24
550,0,4,1412,3595.0,10.55,37927.25
551,0,4,1412,8145.0,11.81,96192.45
552,0,4,1412,1008.0,9.35,9424.8
553,0,7,1412,43562.0,1.45,63164.9
554,1,5,1366,2230.0,5.19,11573.7
555,1,5,1366,13298.0,7.3,97075.4
556,1,5,1366,2585.0,5.32,13752.2
557,1,5,1366,4916.0,5.0,24580.0
558,1,5,1366,4885.0,6.7,32729.5
559,1,5,1366,2171.0,6.9,14979.9
